timestamp,frequencyBand,amplitudeDb,depthMeters,rangeMeters,soundSpeed,noiseLevelDb
2026-04-30T00:00:00.000Z,62500.000,-4.291707,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.001Z,62500.000,0.818658,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.002Z,62500.000,0.777245,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.003Z,62500.000,-13.207450,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.004Z,62500.000,0.848113,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.005Z,62500.000,-6.071526,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.006Z,62500.000,0.874821,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.007Z,62500.000,-12.732957,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.008Z,62500.000,0.912339,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.009Z,62500.000,0.765790,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.010Z,62500.000,-38.230167,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.011Z,62500.000,-0.705033,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.012Z,62500.000,-18.273561,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.013Z,62500.000,1.096497,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.014Z,62500.000,-39.525193,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.015Z,62500.000,1.020462,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.016Z,62500.000,1.011259,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.017Z,62500.000,-38.146386,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.018Z,62500.000,1.035859,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.019Z,62500.000,1.505383,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.020Z,62500.000,1.515335,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.021Z,62500.000,-30.845294,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.022Z,62500.000,0.915139,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.023Z,62500.000,-38.088003,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.024Z,62500.000,-0.567395,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.025Z,62500.000,-18.140669,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.026Z,62500.000,1.104082,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.027Z,62500.000,1.131523,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.028Z,62500.000,-18.120149,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.029Z,62500.000,-0.533231,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.030Z,62500.000,1.128454,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.031Z,62500.000,-32.197761,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.032Z,62500.000,1.599566,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.033Z,62500.000,1.603311,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.034Z,62500.000,-32.186533,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.035Z,62500.000,1.137259,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.036Z,62500.000,-5.794050,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.037Z,62500.000,1.140183,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.038Z,62500.000,-2.695727,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.039Z,62500.000,-2.039030,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.040Z,62500.000,-2.034645,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.041Z,62500.000,-2.018643,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.042Z,62500.000,-1.765084,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.043Z,62500.000,-1.950664,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.044Z,62500.000,-0.546674,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.045Z,62500.000,-1.474074,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.046Z,62500.000,-1.828186,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.047Z,62500.000,-1.754309,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.048Z,62500.000,-1.699197,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.049Z,62500.000,-1.704249,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.050Z,62500.000,-1.889806,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.051Z,62500.000,-1.814394,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.052Z,62500.000,-2.222594,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.053Z,62500.000,-1.009518,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.054Z,62500.000,-1.917076,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.055Z,62500.000,-1.747828,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.056Z,62500.000,-1.854747,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.057Z,62500.000,-2.099311,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.058Z,62500.000,-1.233153,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.059Z,62500.000,-3.617868,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.060Z,62500.000,-2.458823,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.061Z,62500.000,-2.267789,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.062Z,62500.000,-2.192887,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.063Z,62500.000,-2.268590,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.064Z,62500.000,-3.019951,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.065Z,62500.000,-3.906895,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.066Z,62500.000,-1.944711,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.067Z,62500.000,-2.339153,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.068Z,62500.000,-2.064835,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.069Z,62500.000,-0.760088,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.070Z,62500.000,0.932452,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.071Z,62500.000,-1.642075,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.072Z,62500.000,-2.340889,37.0,0.000,1487.0,-91.000
