timestamp,frequencyBand,amplitudeDb,depthMeters,rangeMeters,soundSpeed,noiseLevelDb
2009-11-06T13:44:01.478236Z,62500.000,-26.186905,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.504986Z,62500.000,-35.944101,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.531736Z,62500.000,-42.465533,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.558487Z,62500.000,-43.153763,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.585237Z,62500.000,-39.758679,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.611987Z,62500.000,-38.089116,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.638737Z,62500.000,-39.294947,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.665487Z,62500.000,-40.836991,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.692237Z,62500.000,-14.611848,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.718988Z,62500.000,-11.980094,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.745738Z,62500.000,-24.175097,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.772488Z,62500.000,-40.947080,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.799238Z,62500.000,-36.273787,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.825988Z,62500.000,-35.389185,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.852738Z,62500.000,-38.374223,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.879489Z,62500.000,-35.033229,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.906239Z,62500.000,-34.712381,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.932989Z,62500.000,-40.532873,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.959739Z,62500.000,-12.115622,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.965379Z,62500.000,-28.828017,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.986489Z,62500.000,-14.091322,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:01.992129Z,62500.000,-39.551344,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.013239Z,62500.000,-13.879770,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.018879Z,62500.000,-38.019255,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.039990Z,62500.000,-17.238161,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.045629Z,62500.000,-40.568200,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.066740Z,62500.000,-10.396645,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.072379Z,62500.000,-46.414794,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.093490Z,62500.000,-12.102325,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.099129Z,62500.000,-41.316158,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.120240Z,62500.000,-17.112947,37.000,6.768630,1485.000,-90.000
2009-11-06T13:44:02.125879Z,62500.000,-35.439764,37.000,6.768630,1485.000,-90.000
